Frequency (Hz)	Level (dB)
1640.625000	-61.430557
1646.484375	-57.888870
1652.343750	-58.694424
1658.203125	-56.697868
1664.062500	-55.384422
1669.921875	-58.956532
1675.781250	-63.887794
1681.640625	-67.330765
1687.500000	-67.598175
1693.359375	-62.909538
1699.218750	-57.776855
1705.078125	-57.778217
1710.937500	-59.471138
1716.796875	-63.861721
1722.656250	-64.299728
1728.515625	-59.748524
1734.375000	-60.009090
1740.234375	-63.029842
1746.093750	-59.628952
1751.953125	-55.404545
1757.812500	-50.633327
1763.671875	-50.485462
1769.531250	-55.684040
1775.390625	-59.422562
1781.250000	-59.979156
1787.109375	-61.043922
1792.968750	-63.004375
1798.828125	-63.260738
1804.687500	-63.244957
1810.546875	-60.556854
1816.406250	-61.580860
1822.265625	-61.111790
1828.125000	-56.189758
1833.984375	-58.522064
1839.843750	-66.405014
1845.703125	-66.197426
1851.562500	-61.422928
1857.421875	-57.431057
1863.281250	-53.038681
1869.140625	-49.569298
1875.000000	-52.904343
1880.859375	-62.455585
1886.718750	-64.584251
1892.578125	-58.105274
1898.437500	-56.719097
1904.296875	-59.816296
1910.156250	-56.578213
1916.015625	-59.275364
1921.875000	-63.281063
1927.734375	-64.040726
1933.593750	-64.384521
1939.453125	-61.103130
1945.312500	-62.393501
1951.171875	-59.490582
1957.031250	-52.750114
1962.890625	-53.156116
1968.750000	-54.715633
1974.609375	-50.431274
1980.468750	-50.119492
1986.328125	-55.333687
1992.187500	-64.527054
1998.046875	-66.420067
2003.906250	-62.631939
2009.765625	-61.573620
2015.625000	-62.478565
2021.484375	-58.761887
2027.343750	-58.846607
2033.203125	-62.131222
2039.062500	-64.851685
2044.921875	-65.465088
2050.781250	-61.368294
2056.640625	-58.679028
2062.500000	-60.847214
2068.359375	-64.462944
2074.218750	-61.325447
2080.078125	-55.782112
2085.937500	-49.002270
2091.796875	-45.112888
2097.656250	-45.482540
2103.515625	-54.059078
2109.375000	-60.738338
2115.234375	-64.040298
2121.093750	-62.508595
2126.953125	-64.359070
2132.812500	-61.826599
2138.671875	-60.271526
2144.531250	-60.701992
2150.390625	-57.332817
2156.250000	-54.330433
2162.109375	-60.327934
2167.968750	-61.063435
2173.828125	-57.461197
2179.687500	-62.937656
2185.546875	-67.142456
2191.406250	-64.378654
2197.265625	-60.184540
2203.125000	-59.758209
2208.984375	-59.607105
2214.843750	-55.227886
2220.703125	-50.810860
2226.562500	-52.005764
2232.421875	-61.829636
2238.281250	-66.693077
2244.140625	-66.259079
2250.000000	-61.741756
2255.859375	-62.443104
2261.718750	-65.480827
2267.578125	-63.277710
2273.437500	-64.221603
2279.296875	-65.572662
2285.156250	-61.199448
2291.015625	-60.839176
2296.875000	-63.452839
2302.734375	-60.121868
2308.593750	-59.680592
2314.453125	-64.390709
2320.312500	-66.392281
2326.171875	-65.209831
2332.031250	-63.159019
2337.890625	-60.407352
2343.750000	-55.577229
2349.609375	-51.091866
2355.468750	-49.222424
2361.328125	-53.425293
2367.187500	-60.120190
2373.046875	-60.326046
2378.906250	-65.170914
2384.765625	-65.487259
2390.625000	-66.027458
2396.484375	-66.155121
2402.343750	-66.157661
2408.203125	-64.201431
2414.062500	-60.304790
2419.921875	-59.686005
2425.781250	-65.157303
2431.640625	-67.640732
2437.500000	-65.746964
2443.359375	-60.895943
2449.218750	-60.819519
2455.078125	-66.393021
2460.937500	-65.011528
2466.796875	-61.165909
2472.656250	-59.250156
2478.515625	-54.367538
2484.375000	-49.596546
2490.234375	-48.688736
2496.093750	-52.425510
2501.953125	-61.092804
2507.812500	-64.735542
2513.671875	-66.016090
2519.531250	-64.963127
2525.390625	-61.569756
2531.250000	-64.515839
2537.109375	-64.608276
2542.968750	-59.894142
2548.828125	-58.507690
2554.687500	-63.368103
2560.546875	-65.068802
2566.406250	-65.061348
2572.265625	-67.629341
2578.125000	-65.869881
2583.984375	-64.092796
2589.843750	-63.388470
2595.703125	-61.550285
2601.562500	-59.877213
2607.421875	-54.266144
2613.281250	-50.050922
2619.140625	-49.676334
2625.000000	-53.950882
2630.859375	-52.266129
2636.718750	-49.459087
2642.578125	-51.414955
2648.437500	-56.611980
2654.296875	-62.834541
2660.156250	-64.661415
2666.015625	-61.961159
2671.875000	-62.343014
2677.734375	-59.894947
2683.593750	-61.865395
2689.453125	-63.107189
2695.312500	-63.013134
2701.171875	-66.983627
2707.031250	-67.500618
2712.890625	-66.653175
2718.750000	-65.021996
2724.609375	-66.385246
2730.468750	-63.855274
2736.328125	-55.718494
2742.187500	-52.788933
2748.046875	-56.840794
2753.906250	-63.679073
2759.765625	-64.860596
2765.625000	-67.834290
2771.484375	-67.544647
2777.343750	-68.457878
2783.203125	-67.387810
2789.062500	-62.401176
2794.921875	-62.787540
2800.781250	-64.043350
2806.640625	-61.616528
2812.500000	-61.395260
2818.359375	-68.915230
2824.218750	-71.648849
2830.078125	-64.270668
2835.937500	-59.660065
2841.796875	-58.223965
2847.656250	-63.251579
2853.515625	-63.271526
2859.375000	-60.278622
2865.234375	-58.790337
2871.093750	-58.887966
2876.953125	-58.953548
2882.812500	-64.750465
2888.671875	-65.769371
2894.531250	-68.656456
2900.390625	-68.042374
2906.250000	-65.143227
2912.109375	-62.301338
2917.968750	-65.971321
2923.828125	-66.872643
2929.687500	-62.314796
2935.546875	-58.490608
2941.406250	-58.801861
2947.265625	-61.208187
2953.125000	-54.587597
2958.984375	-49.784241
2964.843750	-52.437054
2970.703125	-60.902294
2976.562500	-66.666321
2982.421875	-66.153244
2988.281250	-63.960342
2994.140625	-66.420433
3000.000000	-64.902397
3005.859375	-61.471497
3011.718750	-65.521729
3017.578125	-65.691292
3023.437500	-63.483891
3029.296875	-64.457451
3035.156250	-66.573311
3041.015625	-67.991920
3046.875000	-67.216293
3052.734375	-67.420227
