Frequency (Hz)	Level (dB)
1640.625000	-42.913616
1646.484375	-42.096046
1652.343750	-42.561481
1658.203125	-40.291191
1664.062500	-40.718578
1669.921875	-42.505081
1675.781250	-43.386189
1681.640625	-43.211159
1687.500000	-43.857449
1693.359375	-45.648750
1699.218750	-48.056858
1705.078125	-47.290272
1710.937500	-47.336098
1716.796875	-44.121181
1722.656250	-42.794735
1728.515625	-44.079735
1734.375000	-45.730705
1740.234375	-46.545357
1746.093750	-47.750267
1751.953125	-46.792397
1757.812500	-46.118351
1763.671875	-45.281769
1769.531250	-44.412457
1775.390625	-44.656467
1781.250000	-46.255787
1787.109375	-45.981186
1792.968750	-45.969112
1798.828125	-47.162682
1804.687500	-46.732513
1810.546875	-48.098156
1816.406250	-48.545551
1822.265625	-47.087681
1828.125000	-46.588871
1833.984375	-47.260136
1839.843750	-45.559711
1845.703125	-43.871727
1851.562500	-45.495605
1857.421875	-45.182545
1863.281250	-45.618439
1869.140625	-46.661674
1875.000000	-47.320084
1880.859375	-48.302349
1886.718750	-49.599960
1892.578125	-49.899746
1898.437500	-48.148647
1904.296875	-47.617588
1910.156250	-47.989956
1916.015625	-46.713902
1921.875000	-45.243473
1927.734375	-45.759731
1933.593750	-47.546062
1939.453125	-48.257370
1945.312500	-47.013123
1951.171875	-46.646194
1957.031250	-47.333645
1962.890625	-47.545162
1968.750000	-46.715321
1974.609375	-45.141888
1980.468750	-42.804806
1986.328125	-41.389381
1992.187500	-45.185131
1998.046875	-47.959263
2003.906250	-48.698448
2009.765625	-49.000137
2015.625000	-47.837605
2021.484375	-48.589172
2027.343750	-48.105785
2033.203125	-46.756504
2039.062500	-47.634930
2044.921875	-47.463997
2050.781250	-46.988850
2056.640625	-46.877968
2062.500000	-48.569599
2068.359375	-48.419827
2074.218750	-49.234146
2080.078125	-49.135826
2085.937500	-49.243889
2091.796875	-49.495636
2097.656250	-50.005589
2103.515625	-49.768875
2109.375000	-48.819195
2115.234375	-49.280437
2121.093750	-50.066845
2126.953125	-49.717587
2132.812500	-47.619236
2138.671875	-46.144306
2144.531250	-47.497322
2150.390625	-48.609169
2156.250000	-46.838619
2162.109375	-45.392662
2167.968750	-46.685867
2173.828125	-46.241886
2179.687500	-47.295521
2185.546875	-49.744621
2191.406250	-49.026630
2197.265625	-49.394104
2203.125000	-48.907539
2208.984375	-47.488319
2214.843750	-46.734867
2220.703125	-45.992535
2226.562500	-47.367851
2232.421875	-48.756268
2238.281250	-48.391418
2244.140625	-48.275501
2250.000000	-49.244900
2255.859375	-47.637524
2261.718750	-47.447460
2267.578125	-49.591225
2273.437500	-50.934315
2279.296875	-51.276966
2285.156250	-51.402809
2291.015625	-51.302032
2296.875000	-50.998436
2302.734375	-49.112213
2308.593750	-50.422626
2314.453125	-50.856430
2320.312500	-47.124001
2326.171875	-46.972080
2332.031250	-49.105175
2337.890625	-49.986668
2343.750000	-47.390896
2349.609375	-45.809151
2355.468750	-47.707729
2361.328125	-49.517899
2367.187500	-49.127899
2373.046875	-49.412621
2378.906250	-50.031677
2384.765625	-50.105812
2390.625000	-51.669445
2396.484375	-51.890884
2402.343750	-50.281925
2408.203125	-51.064911
2414.062500	-51.603466
2419.921875	-50.797642
2425.781250	-49.595722
2431.640625	-51.133553
2437.500000	-50.540752
2443.359375	-50.371181
2449.218750	-50.908672
2455.078125	-50.702465
2460.937500	-49.132797
2466.796875	-48.069038
2472.656250	-50.254967
2478.515625	-49.572277
2484.375000	-49.660610
2490.234375	-51.015797
2496.093750	-50.847775
2501.953125	-50.108273
2507.812500	-49.727280
2513.671875	-52.203686
2519.531250	-51.669880
2525.390625	-51.795086
2531.250000	-52.658710
2537.109375	-51.991150
2542.968750	-50.394764
2548.828125	-51.562527
2554.687500	-52.874813
2560.546875	-52.679951
2566.406250	-50.632961
2572.265625	-49.593891
2578.125000	-52.762074
2583.984375	-54.085030
2589.843750	-54.630463
2595.703125	-53.457493
2601.562500	-53.881657
2607.421875	-51.757687
2613.281250	-51.471668
2619.140625	-51.359005
2625.000000	-49.741421
2630.859375	-48.992363
2636.718750	-49.218712
2642.578125	-48.594017
2648.437500	-47.221149
2654.296875	-48.758293
2660.156250	-49.830349
2666.015625	-52.711365
2671.875000	-52.757195
2677.734375	-53.489101
2683.593750	-53.976757
2689.453125	-54.914200
2695.312500	-55.076939
2701.171875	-52.591362
2707.031250	-53.420921
2712.890625	-51.530499
2718.750000	-50.090843
2724.609375	-51.896252
2730.468750	-52.127453
2736.328125	-52.469303
2742.187500	-51.022503
2748.046875	-50.237465
2753.906250	-49.344212
2759.765625	-51.377193
2765.625000	-52.723839
2771.484375	-50.771919
2777.343750	-51.411007
2783.203125	-53.604069
2789.062500	-53.213913
2794.921875	-49.673306
2800.781250	-51.440384
2806.640625	-53.781204
2812.500000	-53.945705
2818.359375	-54.144058
2824.218750	-52.285656
2830.078125	-54.468307
2835.937500	-52.194702
2841.796875	-51.561386
2847.656250	-52.254036
2853.515625	-53.835674
2859.375000	-53.829807
2865.234375	-51.568455
2871.093750	-53.541386
2876.953125	-54.468971
2882.812500	-54.967407
2888.671875	-53.112617
2894.531250	-52.230499
2900.390625	-54.104221
2906.250000	-54.166229
2912.109375	-54.226009
2917.968750	-53.573940
2923.828125	-55.441334
2929.687500	-56.154217
2935.546875	-54.770359
2941.406250	-53.234917
2947.265625	-54.413063
2953.125000	-53.156197
2958.984375	-52.346848
2964.843750	-53.197746
2970.703125	-52.870193
2976.562500	-52.956905
2982.421875	-55.059017
2988.281250	-55.684757
2994.140625	-55.548740
3000.000000	-55.452003
3005.859375	-55.754303
3011.718750	-53.008362
3017.578125	-50.548302
3023.437500	-48.324745
3029.296875	-48.714375
3035.156250	-50.968513
3041.015625	-50.860104
3046.875000	-50.897972
3052.734375	-51.989826
3058.593750	-53.450798
3064.453125	-53.511314
3070.312500	-53.409195
3076.171875	-55.403931
3082.031250	-55.309708
