Frequency (Hz)	Level (dB)
1640.625000	-50.971954
1646.484375	-50.260239
1652.343750	-50.695236
1658.203125	-48.312103
1664.062500	-48.933666
1669.921875	-50.699287
1675.781250	-51.395386
1681.640625	-51.301353
1687.500000	-51.887028
1693.359375	-53.365620
1699.218750	-56.056320
1705.078125	-55.759804
1710.937500	-55.575897
1716.796875	-52.230408
1722.656250	-51.104282
1728.515625	-52.447876
1734.375000	-53.627537
1740.234375	-54.461090
1746.093750	-56.121006
1751.953125	-55.113743
1757.812500	-54.163376
1763.671875	-53.104931
1769.531250	-53.291958
1775.390625	-53.518471
1781.250000	-54.811600
1787.109375	-54.551464
1792.968750	-54.349247
1798.828125	-56.263306
1804.687500	-55.071812
1810.546875	-56.538300
1816.406250	-56.769836
1822.265625	-55.145870
1828.125000	-54.966549
1833.984375	-55.777225
1839.843750	-54.126904
1845.703125	-52.410782
1851.562500	-53.530792
1857.421875	-53.875580
1863.281250	-54.268379
1869.140625	-54.980267
1875.000000	-55.811962
1880.859375	-56.851700
1886.718750	-58.231297
1892.578125	-58.572765
1898.437500	-56.955582
1904.296875	-56.293560
1910.156250	-56.288067
1916.015625	-55.234943
1921.875000	-53.661839
1927.734375	-54.396851
1933.593750	-56.600773
1939.453125	-56.950356
1945.312500	-55.479450
1951.171875	-55.220970
1957.031250	-55.984261
1962.890625	-56.367008
1968.750000	-55.284550
1974.609375	-53.870495
1980.468750	-51.537121
1986.328125	-50.122635
1992.187500	-54.153889
1998.046875	-57.091377
2003.906250	-57.586742
2009.765625	-58.080456
2015.625000	-56.851639
2021.484375	-57.251945
2027.343750	-56.598003
2033.203125	-55.657413
2039.062500	-56.436565
2044.921875	-56.232281
2050.781250	-56.280083
2056.640625	-55.945385
2062.500000	-57.677780
2068.359375	-57.609596
2074.218750	-58.321301
2080.078125	-58.233685
2085.937500	-58.230373
2091.796875	-58.875145
2097.656250	-58.921719
2103.515625	-58.969551
2109.375000	-58.256359
2115.234375	-58.112320
2121.093750	-58.988983
2126.953125	-58.868023
2132.812500	-56.771343
2138.671875	-55.309383
2144.531250	-56.659882
2150.390625	-57.614330
2156.250000	-56.043991
2162.109375	-54.583057
2167.968750	-55.710567
2173.828125	-55.382511
2179.687500	-56.832211
2185.546875	-59.000492
2191.406250	-58.543400
2197.265625	-58.854572
2203.125000	-58.304623
2208.984375	-56.824455
2214.843750	-56.109711
2220.703125	-55.361202
2226.562500	-56.765545
2232.421875	-57.900074
2238.281250	-57.648277
2244.140625	-57.635387
2250.000000	-58.039528
2255.859375	-56.731911
2261.718750	-56.642178
2267.578125	-58.720299
2273.437500	-59.417107
2279.296875	-60.690041
2285.156250	-61.255623
2291.015625	-60.635132
2296.875000	-60.179657
2302.734375	-58.533546
2308.593750	-60.761383
2314.453125	-60.496109
2320.312500	-56.821064
2326.171875	-56.513611
2332.031250	-58.603188
2337.890625	-59.519989
2343.750000	-57.332840
2349.609375	-55.586128
2355.468750	-57.467056
2361.328125	-59.438908
2367.187500	-59.294209
2373.046875	-59.140423
